s1,time,measurementId
299.39987,0.0,b1321b77-6010-4613-a57c-f891f9a258c4
272.11377,5.263158,b1321b77-6010-4613-a57c-f891f9a258c4
245.54546,10.526316,b1321b77-6010-4613-a57c-f891f9a258c4
219.7861,15.789474,b1321b77-6010-4613-a57c-f891f9a258c4
194.9402,21.052631,b1321b77-6010-4613-a57c-f891f9a258c4
171.12686,26.315788,b1321b77-6010-4613-a57c-f891f9a258c4
148.48015,31.578947,b1321b77-6010-4613-a57c-f891f9a258c4
127.14798,36.842106,b1321b77-6010-4613-a57c-f891f9a258c4
107.28871,42.105263,b1321b77-6010-4613-a57c-f891f9a258c4
89.063736,47.36842,b1321b77-6010-4613-a57c-f891f9a258c4
72.6254,52.631577,b1321b77-6010-4613-a57c-f891f9a258c4
58.09932,57.894737,b1321b77-6010-4613-a57c-f891f9a258c4
45.563004,63.157894,b1321b77-6010-4613-a57c-f891f9a258c4
35.024826,68.42105,b1321b77-6010-4613-a57c-f891f9a258c4
26.410864,73.68421,b1321b77-6010-4613-a57c-f891f9a258c4
19.566162,78.947365,b1321b77-6010-4613-a57c-f891f9a258c4
14.272284,84.210526,b1321b77-6010-4613-a57c-f891f9a258c4
10.276465,89.47369,b1321b77-6010-4613-a57c-f891f9a258c4
7.3226614,94.73684,b1321b77-6010-4613-a57c-f891f9a258c4
5.1759343,100.0,b1321b77-6010-4613-a57c-f891f9a258c4
210.79431,0.0,141d90ba-8c82-4818-842e-169a8415b531
186.30302,5.263158,141d90ba-8c82-4818-842e-169a8415b531
162.89053,10.526316,141d90ba-8c82-4818-842e-169a8415b531
140.69606,15.789474,141d90ba-8c82-4818-842e-169a8415b531
119.87185,21.052631,141d90ba-8c82-4818-842e-169a8415b531
100.578354,26.315788,141d90ba-8c82-4818-842e-169a8415b531
82.975464,31.578947,141d90ba-8c82-4818-842e-169a8415b531
67.20826,36.842106,141d90ba-8c82-4818-842e-169a8415b531
53.38771,42.105263,141d90ba-8c82-4818-842e-169a8415b531
41.56875,47.36842,141d90ba-8c82-4818-842e-169a8415b531
31.731266,52.631577,141d90ba-8c82-4818-842e-169a8415b531
23.771332,57.894737,141d90ba-8c82-4818-842e-169a8415b531
17.508522,63.157894,141d90ba-8c82-4818-842e-169a8415b531
12.708448,68.42105,141d90ba-8c82-4818-842e-169a8415b531
9.113823,73.68421,141d90ba-8c82-4818-842e-169a8415b531
6.473851,78.947365,141d90ba-8c82-4818-842e-169a8415b531
4.565087,84.210526,141d90ba-8c82-4818-842e-169a8415b531
3.201602,89.47369,141d90ba-8c82-4818-842e-169a8415b531
2.2364335,94.73684,141d90ba-8c82-4818-842e-169a8415b531
1.5577588,100.0,141d90ba-8c82-4818-842e-169a8415b531
80.62973,0.0,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
65.13231,5.263158,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
51.593224,10.526316,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
40.057804,15.789474,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
30.494251,21.052631,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
22.786991,26.315788,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
16.746277,31.578947,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
12.132551,36.842106,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
8.687792,42.105263,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
6.1640573,47.36842,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
4.3428307,52.631577,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
3.043768,57.894737,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
2.12519,63.157894,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
1.4797816,68.42105,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
1.0283831,73.68421,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
0.71370476,78.947365,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
0.49484143,84.210526,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
0.3428648,89.47369,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
0.23745306,94.73684,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
0.16439623,100.0,963bbf42-98d6-4fc4-9ec2-438c5975cfdb
55.11294,0.0,135999a1-e4f2-43fe-bb18-fd24a21388f7
43.026848,5.263158,135999a1-e4f2-43fe-bb18-fd24a21388f7
32.929695,10.526316,135999a1-e4f2-43fe-bb18-fd24a21388f7
24.728683,15.789474,135999a1-e4f2-43fe-bb18-fd24a21388f7
18.252539,21.052631,135999a1-e4f2-43fe-bb18-fd24a21388f7
13.27238,26.315788,135999a1-e4f2-43fe-bb18-fd24a21388f7
9.532116,31.578947,135999a1-e4f2-43fe-bb18-fd24a21388f7
6.7786627,36.842106,135999a1-e4f2-43fe-bb18-fd24a21388f7
4.784132,42.105263,135999a1-e4f2-43fe-bb18-fd24a21388f7
3.3573487,47.36842,135999a1-e4f2-43fe-bb18-fd24a21388f7
2.346304,52.631577,135999a1-e4f2-43fe-bb18-fd24a21388f7
1.6348234,57.894737,135999a1-e4f2-43fe-bb18-fd24a21388f7
1.136662,63.157894,135999a1-e4f2-43fe-bb18-fd24a21388f7
0.78911006,68.42105,135999a1-e4f2-43fe-bb18-fd24a21388f7
0.54724884,73.68421,135999a1-e4f2-43fe-bb18-fd24a21388f7
0.37923777,78.947365,135999a1-e4f2-43fe-bb18-fd24a21388f7
0.26267254,84.210526,135999a1-e4f2-43fe-bb18-fd24a21388f7
